Genre,Total movies with this genre,Title,Year,Length,Rating
film-noir,939,The Asphalt Jungle,1950,7.8,112
film-noir,939,Island of Lost Souls,1932,7.4,70
film-noir,939,Scarface,1932,7.7,93
film-noir,939,Impact,1949,7.0,111
film-noir,939,Don't Bother to Knock,1952,6.8,76
film-noir,939,Nightmare Alley,1947,7.7,110
film-noir,939,Key Largo,1948,7.7,100
film-noir,939,Phone Call from a Stranger,1952,7.0,105
film-noir,939,To Have and Have Not,1944,7.8,100
film-noir,939,Gilda,1946,7.6,110
film-noir,939,Mildred Pierce,1945,7.9,111
film-noir,939,The Lady from Shanghai,1947,7.5,87
film-noir,939,Spellbound,1945,7.5,111
film-noir,939,Murder by an Aristocrat,1936,5.6,60
film-noir,939,Sweet Smell of Success,1957,8.0,96
film-noir,939,Marked Woman,1937,7.1,96
film-noir,939,The Red House,1947,6.7,100
film-noir,939,Each Dawn I Die,1939,7.3,92
film-noir,939,The Stranger,1946,7.3,95
film-noir,939,Ace in the Hole,1951,8.1,111
film-noir,939,The Postman Always Rings Twice,1946,7.4,113
film-noir,939,Scarlet Street,1945,7.8,102
history,8852,Amsterdam,2022,6.2,134
history,8852,The Northman,2022,7.1,137
history,8852,The Woman King,2022,6.7,135
history,8852,Argentina, 1985,2022,7.9,140
history,8852,Call Jane,2022,6.7,121
history,8852,The Legend of Maula Jatt,2022,8.9,153
history,8852,Medieval,2022,5.9,126
history,8852,Rapiniamo il Duce,2022,5.5,90
history,8852,Schindler's List,1993,9.0,195
history,8852,Ponniyin Selvan: I,2022,8.1,167
history,8852,Black Hawk Down,2001,7.7,144
history,8852,Braveheart,1995,8.4,178
history,8852,Troy,2004,7.3,163
history,8852,Robin Hood,2010,6.6,140
history,8852,Hacksaw Ridge,2016,8.1,139
history,8852,The King,2019,7.3,140
history,8852,The Last Duel,2021,7.4,152
history,8852,Dunkirk,2017,7.8,106
history,8852,The Big Short,2015,7.8,130
history,8852,Hamilton,2020,8.4,160
history,8852,Zero Dark Thirty,2012,7.4,157
history,8852,The Courier,2020,7.1,112
